Date,XLB
1998-12-23,0.0105031914
1998-12-24,0.0230139709
1998-12-28,-0.0087082372
1998-12-29,0.0183020141
1998-12-30,-0.0028754713
1998-12-31,0.0115349087
1999-01-04,-0.0121168091
1999-01-05,0.0245312897
1999-01-06,0.0176050272
1999-01-07,-0.0076119760
1999-01-08,0.0341703980
1999-01-11,0.0020224764
1999-01-12,-0.0255721082
1999-01-13,-0.0220991544
1999-01-14,-0.0169491537
1999-01-15,0.0150858916
1999-01-19,-0.0183997123
1999-01-20,-0.0036053576
1999-01-21,-0.0043413700
1999-01-22,-0.0196227751
1999-01-25,0.0200155355
1999-01-26,-0.0029073298
1999-01-27,-0.0080181575
1999-01-28,-0.0124904406
1999-01-29,0.0052087258
1999-02-01,0.0081418224
1999-02-02,0.0007349877
1999-02-03,0.0007334877
1999-02-04,0.0293252357
1999-02-05,0.0135327431
1999-02-08,-0.0049191998
1999-02-09,-0.0190678246
1999-02-10,0.0021598546
1999-02-11,-0.0100575021
1999-02-12,-0.0050796955
1999-02-16,-0.0094823468
1999-02-17,-0.0103095336
1999-02-18,0.0074411225
1999-02-19,0.0081231117
1999-02-22,0.0168503122
1999-02-23,-0.0086450641
1999-02-24,-0.0029073298
1999-02-25,0.0000000000
1999-02-26,0.0000000000
1999-03-01,-0.0116617605
1999-03-02,-0.0088498926
1999-03-03,-0.0066961413
1999-03-04,0.0029965443
1999-03-05,0.0336069114
1999-03-08,0.0065030455
1999-03-09,-0.0086145369
1999-03-10,0.0137578334
1999-03-11,0.0107148554
1999-03-12,-0.0042406907
1999-03-15,0.0021292682
1999-03-16,-0.0042489890
1999-03-17,-0.0028452240
1999-03-18,0.0213979855
1999-03-19,0.0012608800
1999-03-22,0.0027989655
1999-03-23,-0.0251222692
1999-03-24,0.0007165422
1999-03-25,0.0035766287
1999-03-26,-0.0078412413
1999-03-29,0.0165236664
1999-03-30,-0.0021199402
1999-03-31,-0.0141651621
1999-04-01,0.0114949721
1999-04-05,0.0120731451
1999-04-06,-0.0175432630
1999-04-07,0.0107143448
1999-04-08,0.0141342819
1999-04-09,-0.0048781453
1999-04-12,0.0294117172
1999-04-13,0.0122449665
1999-04-14,0.0483870946
1999-04-15,0.0384611723
1999-04-16,0.0111113004
1999-04-19,0.0103788145
1999-04-20,-0.0120847786
1999-04-21,0.0042815536
1999-04-22,-0.0158342502
1999-04-23,0.0148511910
1999-04-26,-0.0097562131
1999-04-27,0.0197048544
1999-04-28,0.0531404979
1999-04-29,0.0074531868
1999-04-30,-0.0119519753
1999-05-03,0.0230418928
1999-05-04,-0.0061942909
1999-05-05,0.0118980291
1999-05-06,0.0083987610
1999-05-07,0.0022208338
1999-05-10,-0.0055392535
1999-05-11,-0.0016717646
1999-05-12,-0.0251113502
1999-05-13,-0.0040075212
1999-05-14,-0.0028730031
1999-05-17,-0.0011538426
1999-05-18,-0.0242343090
1999-05-19,0.0100532748
1999-05-20,-0.0117100730
1999-05-21,-0.0005917665
1999-05-24,-0.0041496955
1999-05-25,-0.0095239790
1999-05-26,-0.0096160398
1999-05-27,-0.0230575404
1999-05-28,-0.0198758829
1999-06-01,0.0430926307
1999-06-02,-0.0012154391
1999-06-03,0.0030415020
1999-06-04,0.0187996209
1999-06-07,0.0029753699
1999-06-08,-0.0124622691
1999-06-09,-0.0096160398
1999-06-10,0.0169910645
1999-06-11,-0.0089504073
1999-06-14,0.0240820799
1999-06-15,0.0088180971
1999-06-16,0.0040798044
1999-06-17,0.0034821423
1999-06-18,0.0025387208
1999-06-21,-0.0243052565
1999-06-22,-0.0130487736
1999-06-23,0.0048076781
1999-06-24,-0.0227270266
1999-06-25,0.0061195643
1999-06-28,0.0188568817
1999-06-29,-0.0059701897
1999-06-30,-0.0006008390
1999-07-01,0.0096155967
1999-07-02,0.0202376741
1999-07-06,-0.0046676069
1999-07-07,-0.0058614151
1999-07-08,-0.0070755106
1999-07-09,0.0160341004
1999-07-12,-0.0064292579
1999-07-13,-0.0005885275
1999-07-14,-0.0052972763
1999-07-15,-0.0153846873
1999-07-16,0.0090145769
1999-07-19,-0.0095296906
1999-07-20,-0.0018037229
1999-07-21,-0.0024097515
1999-07-22,0.0048308429
1999-07-23,0.0000000000
1999-07-26,-0.0126200950
1999-07-27,0.0139987401
1999-07-28,0.0054023848
1999-07-29,-0.0185078808
1999-07-30,0.0006082100
1999-08-02,0.0030400526
1999-08-03,-0.0006066042
1999-08-04,0.0242574839
1999-08-05,0.0071045962
1999-08-06,-0.0146970181
1999-08-09,-0.0095465098
