Date,XLF
1998-12-23,0.01474311
1998-12-24,0.00660662
1998-12-28,-0.01312338
1998-12-29,0.01063821
1998-12-30,-0.00394884
1998-12-31,-0.00924528
1999-01-04,0.00000000
1999-01-05,0.00933155
1999-01-06,0.03170379
1999-01-07,0.01536507
1999-01-08,0.00630679
1999-01-11,-0.01503724
1999-01-12,-0.02798977
1999-01-13,-0.01308902
1999-01-14,-0.02520117
1999-01-15,0.02857389
1999-01-19,-0.00529142
1999-01-20,0.00731090
1999-01-21,-0.01781895
1999-01-22,-0.00672204
1999-01-25,0.00811869
1999-01-26,0.00066988
1999-01-27,-0.01273961
1999-01-28,0.01494353
1999-01-29,0.02141847
1999-02-01,-0.01703551
1999-02-02,-0.01066679
1999-02-03,0.00740923
1999-02-04,-0.02340843
1999-02-05,-0.00821888
1999-02-08,-0.00276286
1999-02-09,-0.01385012
1999-02-10,0.00842687
1999-02-11,0.04038806
1999-02-12,-0.01472351
1999-02-16,0.01494353
1999-02-17,0.00401808
1999-02-18,0.00999686
1999-02-19,0.00330316
1999-02-22,0.02894793
1999-02-23,0.01278725
1999-02-24,-0.03282795
1999-02-25,-0.00652918
1999-02-26,0.01839620
1999-03-01,0.00387302
1999-03-02,0.00257090
1999-03-03,-0.00961641
1999-03-04,0.02265470
1999-03-05,0.02531650
1999-03-08,-0.00679082
1999-03-09,0.00807850
1999-03-10,0.01849750
1999-03-11,0.00484262
1999-03-12,0.00180411
1999-03-15,0.00300966
1999-03-16,-0.01438851
1999-03-17,-0.00851747
1999-03-18,0.02331461
1999-03-19,-0.01898519
1999-03-22,0.00245060
1999-03-23,-0.03422959
1999-03-24,-0.00253164
1999-03-25,0.02284250
1999-03-26,-0.00868685
1999-03-29,0.02252798
1999-03-30,-0.01162890
1999-03-31,-0.01176164
1999-04-01,0.00250597
1999-04-05,0.02000065
1999-04-06,-0.00735368
1999-04-07,0.02716103
1999-04-08,0.01802661
1999-04-09,-0.00236100
1999-04-12,0.01775321
1999-04-13,-0.00116511
1999-04-14,-0.01280355
1999-04-15,-0.00943368
1999-04-16,-0.00476181
1999-04-19,0.00000000
1999-04-20,0.01315577
1999-04-21,0.01535029
1999-04-22,0.01046305
1999-04-23,-0.00345013
1999-04-26,-0.01501347
1999-04-27,0.01758707
1999-04-28,-0.00576213
1999-04-29,0.00347793
1999-04-30,-0.01385644
1999-05-03,0.01170904
1999-05-04,-0.03125156
1999-05-05,0.00597518
1999-05-06,-0.01662715
1999-05-07,0.01932421
1999-05-10,-0.00355631
1999-05-11,0.01189015
1999-05-12,0.01410152
1999-05-13,0.00926972
1999-05-14,-0.03099684
1999-05-17,-0.01895786
1999-05-18,0.00241573
1999-05-19,0.00722909
1999-05-20,-0.01315971
1999-05-21,-0.00242452
1999-05-24,-0.02187103
1999-05-25,-0.02608430
1999-05-26,0.03252147
1999-05-27,-0.02408571
1999-05-28,0.01582145
1999-06-01,-0.01433131
1999-06-02,-0.00631918
1999-06-03,-0.00063872
1999-06-04,0.01846219
1999-06-07,0.01874911
1999-06-08,-0.01779145
1999-06-09,-0.00249853
1999-06-10,-0.01878656
1999-06-11,0.00191542
1999-06-14,-0.00509535
1999-06-15,0.00512144
1999-06-16,0.02611334
1999-06-17,0.01924411
1999-06-18,0.00155523
1999-06-21,0.00609578
1999-06-22,-0.01090716
1999-06-23,-0.00980375
1999-06-24,-0.01609129
1999-06-25,0.00251578
1999-06-28,0.02321106
1999-06-29,0.00306879
1999-06-30,0.02078053
1999-07-01,0.01078019
1999-07-02,0.00000000
1999-07-06,0.00829134
1999-07-07,-0.00352324
1999-07-08,-0.00353948
1999-07-09,0.00118540
1999-07-12,-0.00827653
1999-07-13,-0.01072444
1999-07-14,0.00240932
1999-07-15,0.00901146
1999-07-16,0.00536349
1999-07-19,-0.00710924
1999-07-20,-0.01253267
1999-07-21,-0.01147719
1999-07-22,0.00122014
1999-07-23,-0.01098651
1999-07-26,0.00370118
1999-07-27,0.01353275
1999-07-28,-0.01213645
1999-07-29,-0.01474185
1999-07-30,-0.02244369
1999-08-02,-0.00510234
1999-08-03,-0.01282068
1999-08-04,-0.01298669
1999-08-05,0.00394509
1999-08-06,-0.02621232
1999-08-09,0.00269175
1999-08-10,-0.01744755
1999-08-11,0.01912566
1999-08-12,0.00468889
1999-08-13,0.03269109
1999-08-16,-0.00387768
1999-08-17,0.03631651
1999-08-18,-0.01063770
1999-08-19,-0.01328141
1999-08-20,0.01410104
1999-08-23,0.02654999
1999-08-24,0.00246320
1999-08-25,-0.00798845
1999-08-26,-0.02290947
1999-08-27,-0.01647388
1999-08-30,-0.03286236
1999-08-31,-0.00133385
1999-09-01,0.00467058
1999-09-02,-0.01925515
1999-09-03,0.05077968
1999-09-07,-0.02706414
1999-09-08,-0.00662039
1999-09-09,-0.01200203
1999-09-10,0.00742368
1999-09-13,-0.00937970
1999-09-14,-0.01825207
1999-09-15,-0.00482227
1999-09-16,-0.00345936
1999-09-17,0.02145825
1999-09-20,-0.01159492
1999-09-21,-0.01587395
1999-09-22,-0.00070004
1999-09-23,-0.00772033
1999-09-24,0.00707421
1999-09-27,-0.01685352
1999-09-28,-0.00143129
1999-09-29,-0.00715038
1999-09-30,0.02017248
1999-10-01,-0.01694896
1999-10-04,0.03807349
1999-10-05,0.00415047
1999-10-06,0.01723235
1999-10-07,-0.00948727
1999-10-08,0.01778610
1999-10-11,-0.01075270
1999-10-12,-0.01902217
1999-10-13,-0.02977891
1999-10-14,-0.00142962
1999-10-15,-0.04502914
1999-10-18,0.03218195
1999-10-19,0.02103320
1999-10-20,0.01775511
1999-10-21,0.00488588
1999-10-22,0.04166606
1999-10-25,-0.00866947
1999-10-26,-0.01546453
1999-10-27,0.04918049
1999-10-28,0.07096247
1999-10-29,-0.00547026
1999-11-01,-0.01222477
1999-11-02,-0.00123951
1999-11-03,-0.00433768
1999-11-04,0.01182355
1999-11-05,0.02460014
1999-11-08,-0.00540076
1999-11-09,-0.01931186
1999-11-10,-0.01538385
1999-11-11,-0.00562820
1999-11-12,0.04337272
1999-11-15,-0.00060576
1999-11-16,0.02712796
1999-11-17,-0.02112687
1999-11-18,-0.00300048
1999-11-19,-0.01503208
1999-11-22,-0.00366115
1999-11-23,-0.01593335
1999-11-24,-0.01183186
1999-11-26,-0.00692775
1999-11-29,-0.02411372
1999-11-30,0.01690690
1999-12-01,-0.00767245
