Date,XLY
1998-12-23,0.0042942850
1998-12-24,0.0183268524
1998-12-28,-0.0089985362
1998-12-29,0.0217920274
1998-12-30,-0.0082935585
1998-12-31,-0.0011950561
1999-01-04,-0.0059812148
1999-01-05,0.0168468536
1999-01-06,0.0284027181
1999-01-07,-0.0011502085
1999-01-08,0.0011515330
1999-01-11,-0.0051783931
1999-01-12,-0.0260265074
1999-01-13,0.0047507310
1999-01-14,-0.0224586140
1999-01-15,0.0126970977
1999-01-19,-0.0005971955
1999-01-20,0.0167257851
1999-01-21,-0.0094004517
1999-01-22,0.0047446607
1999-01-25,-0.0023616074
1999-01-26,0.0236688997
1999-01-27,-0.0011554805
1999-01-28,0.0104161047
1999-01-29,0.0068727491
1999-02-01,0.0022754022
1999-02-02,-0.0124855859
1999-02-03,0.0160920204
1999-02-04,-0.0056564895
1999-02-05,-0.0250284073
1999-02-08,0.0163359383
1999-02-09,-0.0309982756
1999-02-10,0.0000000000
1999-02-11,0.0325830337
1999-02-12,-0.0177858237
1999-02-16,0.0128509456
1999-02-17,-0.0034602240
1999-02-18,0.0011568172
1999-02-19,0.0052025748
1999-02-22,0.0253022287
1999-02-23,-0.0050480155
1999-02-24,-0.0124011260
1999-02-25,-0.0114156426
1999-02-26,0.0086603636
1999-03-01,0.0005723973
1999-03-02,0.0022886048
1999-03-03,-0.0051369185
1999-03-04,0.0212274816
1999-03-05,0.0303370046
1999-03-08,0.0043619545
1999-03-09,0.0027146904
1999-03-10,-0.0027073408
1999-03-11,0.0108577909
1999-03-12,0.0042963178
1999-03-15,0.0021392952
1999-03-16,-0.0053361053
1999-03-17,-0.0042917944
1999-03-18,0.0172415235
1999-03-19,-0.0137610653
1999-03-22,-0.0107526178
1999-03-23,-0.0304348547
1999-03-24,-0.0078476325
1999-03-25,0.0305085669
1999-03-26,-0.0065788777
1999-03-29,0.0242823466
1999-03-30,0.0010779249
1999-03-31,-0.0150699361
1999-04-01,-0.0010927956
1999-04-05,0.0131290482
1999-04-06,0.0053994217
1999-04-07,0.0085929059
1999-04-08,0.0223640207
1999-04-09,0.0093751973
1999-04-12,0.0082557616
1999-04-13,-0.0051176117
1999-04-14,-0.0226338797
1999-04-15,-0.0021048565
1999-04-16,0.0031644796
1999-04-19,-0.0220822490
1999-04-20,0.0129031762
1999-04-21,0.0169851741
1999-04-22,0.0026096816
1999-04-23,0.0109319221
1999-04-26,-0.0061795063
1999-04-27,0.0025911302
1999-04-28,-0.0036178881
1999-04-29,-0.0228216294
1999-04-30,-0.0031845505
1999-05-03,0.0244940963
1999-05-04,-0.0114343472
1999-05-05,-0.0084124906
1999-05-06,-0.0222692044
1999-05-07,0.0227764170
1999-05-10,-0.0010604342
1999-05-11,0.0201698970
1999-05-12,0.0062435991
1999-05-13,-0.0051706594
1999-05-14,-0.0197506465
1999-05-17,-0.0201483360
1999-05-18,0.0064934372
1999-05-19,-0.0118282244
1999-05-20,0.0087056427
1999-05-21,-0.0064724216
1999-05-24,-0.0217155537
1999-05-25,-0.0099891978
1999-05-26,0.0112108710
1999-05-27,-0.0199557554
1999-05-28,0.0141400985
1999-06-01,0.0061352449
1999-06-02,-0.0022173612
1999-06-03,0.0233336262
1999-06-04,0.0075999546
1999-06-07,0.0026937843
1999-06-08,-0.0150458688
1999-06-09,-0.0098191597
